spotifyID,title,artist,durationMs,songKey,mode,timeSignature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,spotifyID,chart date,ranking
"Thank U, Next",Ariana Grande,0.653,-5.634,0.412,106.966,1,2019-01-01
Without Me,Halsey,0.488,-7.05,0.533,136.041,2,2019-01-01
All I Want For Christmas Is You,Mariah Carey,0.625,-7.462,0.346,150.277,3,2019-01-01
Sicko Mode,Travis Scott,0.73,-3.714,0.446,155.008,4,2019-01-01
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,0.479,-5.574,0.913,89.911,5,2019-01-01
High Hopes,Panic! At The Disco,0.904,-2.729,0.681,82.014,6,2019-01-01
Happier,Marshmello & Bastille,0.792,-2.749,0.671,100.015,7,2019-01-01
Jingle Bell Rock,Bobby Helms,0.424,-8.463,0.806,119.705,8,2019-01-01
Rockin' Around The Christmas Tree,Brenda Lee,0.472,-8.749,0.898,67.196,9,2019-01-01
A Holly Jolly Christmas,Burl Ives,0.375,-13.056,0.888,140.467,10,2019-01-01
The Christmas Song (Merry Christmas To You),Nat King Cole,0.21,-15.231,0.209,78.696,11,2019-01-01
It's The Most Wonderful Time Of The Year,Andy Williams,0.313,-9.513,0.476,111.345,13,2019-01-01
Girls Like You,Maroon 5 Featuring Cardi B,0.541,-6.825,0.448,124.959,14,2019-01-01
ZEZE,Kodak Black Featuring Travis Scott & Offset,0.603,-5.788,0.504,98.043,15,2019-01-01
Rudolph The Red-Nosed Reindeer,Gene Autry,0.159,-14.056,0.644,142.11,16,2019-01-01
Mo Bamba,Sheck Wes,0.625,-5.266,0.261,146.034,17,2019-01-01
Money,Cardi B,0.59,-6.508,0.219,130.003,19,2019-01-01
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,0.24,-14.014,0.701,134.005,20,2019-01-01
Eastside,"benny blanco, Halsey & Khalid",0.68,-7.648,0.319,89.391,21,2019-01-01
Breathin,Ariana Grande,0.656,-5.413,0.364,100.049,22,2019-01-01
Better Now,Post Malone,0.578,-5.804,0.341,145.038,23,2019-01-01
Youngblood,5 Seconds Of Summer,0.854,-5.114,0.152,120.274,24,2019-01-01
Last Christmas,Wham!,0.618,-7.964,0.861,106.856,25,2019-01-01
Sleigh Ride,The Ronettes,0.772,-7.013,0.852,91.735,26,2019-01-01
Lucid Dreams,Juice WRLD,0.566,-7.23,0.218,83.903,27,2019-01-01
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,0.372,-11.99,0.976,96.628,28,2019-01-01
Feliz Navidad,Jose Feliciano,0.857,-7.059,0.963,148.749,29,2019-01-01
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",0.801,-4.167,0.617,95.881,30,2019-01-01
MIA,Bad Bunny Featuring Drake,0.539,-6.349,0.158,97.062,31,2019-01-01
Leave Me Alone,Flipp Dinero,0.743,-2.806,0.742,150.024,33,2019-01-01
White Christmas,Bing Crosby,0.158,-16.485,0.247,130.503,34,2019-01-01
Going Bad,Meek Mill Featuring Drake,0.496,-6.365,0.544,86.003,36,2019-01-01
A Lot,21 Savage,0.636,-7.643,0.274,145.972,37,2019-01-01
Trip,Ella Mai,0.61,-5.628,0.358,79.882,38,2019-01-01
I Like It,"Cardi B, Bad Bunny & J Balvin",0.726,-3.998,0.65,136.048,39,2019-01-01
Blue Christmas,Elvis Presley,0.27,-16.661,0.58,94.519,40,2019-01-01
Speechless,Dan + Shay,0.438,-5.968,0.386,135.929,41,2019-01-01
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,0.607,-11.076,0.395,146.539,42,2019-01-01
Christmas (Baby Please Come Home),Darlene Love,0.76,-7.146,0.356,126.322,43,2019-01-01
Underneath The Tree,Kelly Clarkson,0.812,-5.438,0.689,159.876,44,2019-01-01
Run Rudolph Run,Chuck Berry,0.715,-10.609,0.957,152.132,45,2019-01-01
Natural,Imagine Dragons,0.611,-6.112,0.22,100.0,46,2019-01-01
Wow.,Post Malone,0.539,-7.359,0.388,99.96,47,2019-01-01
Love Lies,Khalid & Normani,0.648,-5.626,0.338,143.955,48,2019-01-01
Jingle Bells,Frank Sinatra,0.383,-11.44,0.87,86.997,49,2019-01-01
Beautiful,Bazzi Featuring Camila Cabello,0.717,-4.722,0.249,100.027,50,2019-01-01
Better,Khalid,0.552,-10.278,0.112,97.949,51,2019-01-01
Shallow,Lady Gaga & Bradley Cooper,0.385,-6.362,0.323,95.799,52,2019-01-01
Cozy Little Christmas,Katy Perry,0.608,-6.264,0.56,137.494,53,2019-01-01
She Got The Best Of Me ,Luke Combs,0.907,-3.793,0.7,150.99,54,2019-01-01
The Christmas Song,Lauren Daigle,0.239,-14.507,0.197,106.518,55,2019-01-01
Uproar,Lil Wayne,0.87,-2.188,0.884,99.075,56,2019-01-01
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,0.662,-5.239,0.434,93.023,57,2019-01-01
You Say,Lauren Daigle,0.632,-6.89,0.0791,147.892,59,2019-01-01
Best Shot,Jimmie Allen,0.464,-8.72,0.523,156.051,61,2019-01-01
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,0.493,-7.528,0.562,86.043,62,2019-01-01
Be Alright,Dean Lewis,0.586,-6.319,0.443,126.684,63,2019-01-01
Drunk Me,Mitchell Tenpenny,0.797,-3.77,0.408,176.024,64,2019-01-01
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,0.622,-4.653,0.506,191.971,65,2019-01-01
Look Back At It,A Boogie Wit da Hoodie,0.587,-5.075,0.536,96.057,66,2019-01-01
All My Friends,21 Savage,0.62,-4.513,0.206,130.09,67,2019-01-01
Backin' It Up,Pardison Fontaine Featuring Cardi B,0.68,-4.853,0.565,164.932,69,2019-01-01
Break Da Law,21 Savage,0.575,-7.823,0.359,141.039,70,2019-01-01
Imagine,Ariana Grande,0.475,-4.985,0.371,62.52,71,2019-01-01
Talk To Me,Tory Lanez & Rich The Kid,0.66,-7.883,0.451,159.949,72,2019-01-01
Monster,21 Savage,0.607,-6.916,0.224,134.022,73,2019-01-01
Calling My Spirit,Kodak Black,0.366,-9.954,0.74,119.985,74,2019-01-01
Consequences,Camila Cabello,0.289,-8.131,0.213,104.851,75,2019-01-01
Armed And Dangerous,Juice WRLD,0.67,-6.702,0.845,130.032,76,2019-01-01
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,0.794,-5.844,0.244,114.066,78,2019-01-01
Sixteen,Thomas Rhett,0.531,-7.031,0.425,107.013,79,2019-01-01
Burning Man,Dierks Bentley Featuring Brothers Osborne,0.807,-7.221,0.492,119.073,80,2019-01-01
Beautiful Crazy,Luke Combs,0.402,-7.431,0.382,103.313,81,2019-01-01
When The Party's Over,Billie Eilish,0.111,-14.084,0.198,82.642,82,2019-01-01
Sweet But Psycho,Ava Max,0.704,-4.724,0.628,133.002,83,2019-01-01
This Feeling,The Chainsmokers Featuring Kelsea Ballerini,0.571,-7.906,0.449,105.049,84,2019-01-01
You,Jacquees,0.453,-8.264,0.335,115.002,85,2019-01-01
1.5,21 Savage,0.52,-8.353,0.306,84.022,86,2019-01-01
Girl Like You,Jason Aldean,0.88,-4.204,0.483,144.057,87,2019-01-01
Out For The Night,21 Savage,0.632,-5.381,0.0789,173.369,88,2019-01-01
Good Girl,Dustin Lynch,0.696,-5.05,0.694,80.512,89,2019-01-01
No Stylist,French Montana Featuring Drake,0.704,-4.589,0.498,147.055,90,2019-01-01
Lovely,Billie Eilish & Khalid,0.296,-10.109,0.12,115.284,91,2019-01-01
Ella Quiere Beber,Anuel AA & Romeo Santos,0.665,-3.083,0.697,95.239,92,2019-01-01
Gun Smoke,21 Savage,0.461,-5.677,0.325,85.992,93,2019-01-01
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,0.55,-7.46,0.183,76.503,94,2019-01-01
ASMR,21 Savage,0.543,-7.738,0.161,170.067,95,2019-01-01
Last Shot,Kip Moore,0.859,-4.403,0.377,148.037,96,2019-01-01
Fine China,Future & Juice WRLD,0.542,-7.358,0.551,166.111,97,2019-01-01
Envy Me,Calboy,0.488,-7.664,0.584,149.042,98,2019-01-01
This Is It,Scotty McCreery,0.511,-6.788,0.602,156.042,100,2019-01-01
"Thank U, Next",Ariana Grande,0.653,-5.634,0.412,106.966,1,2019-01-04
Without Me,Halsey,0.488,-7.05,0.533,136.041,2,2019-01-04
All I Want For Christmas Is You,Mariah Carey,0.625,-7.462,0.346,150.277,3,2019-01-04
Sicko Mode,Travis Scott,0.73,-3.714,0.446,155.008,4,2019-01-04
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,0.479,-5.574,0.913,89.911,5,2019-01-04
High Hopes,Panic! At The Disco,0.904,-2.729,0.681,82.014,6,2019-01-04
Happier,Marshmello & Bastille,0.792,-2.749,0.671,100.015,7,2019-01-04
Jingle Bell Rock,Bobby Helms,0.424,-8.463,0.806,119.705,8,2019-01-04
Rockin' Around The Christmas Tree,Brenda Lee,0.472,-8.749,0.898,67.196,9,2019-01-04
A Holly Jolly Christmas,Burl Ives,0.375,-13.056,0.888,140.467,10,2019-01-04
The Christmas Song (Merry Christmas To You),Nat King Cole,0.21,-15.231,0.209,78.696,11,2019-01-04
It's The Most Wonderful Time Of The Year,Andy Williams,0.313,-9.513,0.476,111.345,13,2019-01-04
Girls Like You,Maroon 5 Featuring Cardi B,0.541,-6.825,0.448,124.959,14,2019-01-04
ZEZE,Kodak Black Featuring Travis Scott & Offset,0.603,-5.788,0.504,98.043,15,2019-01-04
Rudolph The Red-Nosed Reindeer,Gene Autry,0.159,-14.056,0.644,142.11,16,2019-01-04
Mo Bamba,Sheck Wes,0.625,-5.266,0.261,146.034,17,2019-01-04
Money,Cardi B,0.59,-6.508,0.219,130.003,19,2019-01-04
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,0.24,-14.014,0.701,134.005,20,2019-01-04
Eastside,"benny blanco, Halsey & Khalid",0.68,-7.648,0.319,89.391,21,2019-01-04
Breathin,Ariana Grande,0.656,-5.413,0.364,100.049,22,2019-01-04
Better Now,Post Malone,0.578,-5.804,0.341,145.038,23,2019-01-04
Youngblood,5 Seconds Of Summer,0.854,-5.114,0.152,120.274,24,2019-01-04
Last Christmas,Wham!,0.618,-7.964,0.861,106.856,25,2019-01-04
Sleigh Ride,The Ronettes,0.772,-7.013,0.852,91.735,26,2019-01-04
Lucid Dreams,Juice WRLD,0.566,-7.23,0.218,83.903,27,2019-01-04
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,0.372,-11.99,0.976,96.628,28,2019-01-04
Feliz Navidad,Jose Feliciano,0.857,-7.059,0.963,148.749,29,2019-01-04
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",0.801,-4.167,0.617,95.881,30,2019-01-04
MIA,Bad Bunny Featuring Drake,0.539,-6.349,0.158,97.062,31,2019-01-04
Leave Me Alone,Flipp Dinero,0.743,-2.806,0.742,150.024,33,2019-01-04
White Christmas,Bing Crosby,0.158,-16.485,0.247,130.503,34,2019-01-04
Going Bad,Meek Mill Featuring Drake,0.496,-6.365,0.544,86.003,36,2019-01-04
A Lot,21 Savage,0.636,-7.643,0.274,145.972,37,2019-01-04
Trip,Ella Mai,0.61,-5.628,0.358,79.882,38,2019-01-04
I Like It,"Cardi B, Bad Bunny & J Balvin",0.726,-3.998,0.65,136.048,39,2019-01-04
Blue Christmas,Elvis Presley,0.27,-16.661,0.58,94.519,40,2019-01-04
Speechless,Dan + Shay,0.438,-5.968,0.386,135.929,41,2019-01-04
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,0.607,-11.076,0.395,146.539,42,2019-01-04
Christmas (Baby Please Come Home),Darlene Love,0.76,-7.146,0.356,126.322,43,2019-01-04
Underneath The Tree,Kelly Clarkson,0.812,-5.438,0.689,159.876,44,2019-01-04
Run Rudolph Run,Chuck Berry,0.715,-10.609,0.957,152.132,45,2019-01-04
Natural,Imagine Dragons,0.611,-6.112,0.22,100.0,46,2019-01-04
Wow.,Post Malone,0.539,-7.359,0.388,99.96,47,2019-01-04
Love Lies,Khalid & Normani,0.648,-5.626,0.338,143.955,48,2019-01-04
Jingle Bells,Frank Sinatra,0.383,-11.44,0.87,86.997,49,2019-01-04
Beautiful,Bazzi Featuring Camila Cabello,0.717,-4.722,0.249,100.027,50,2019-01-04
Better,Khalid,0.552,-10.278,0.112,97.949,51,2019-01-04
Shallow,Lady Gaga & Bradley Cooper,0.385,-6.362,0.323,95.799,52,2019-01-04
Cozy Little Christmas,Katy Perry,0.608,-6.264,0.56,137.494,53,2019-01-04
She Got The Best Of Me ,Luke Combs,0.907,-3.793,0.7,150.99,54,2019-01-04
The Christmas Song,Lauren Daigle,0.239,-14.507,0.197,106.518,55,2019-01-04
Uproar,Lil Wayne,0.87,-2.188,0.884,99.075,56,2019-01-04
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,0.662,-5.239,0.434,93.023,57,2019-01-04
You Say,Lauren Daigle,0.632,-6.89,0.0791,147.892,59,2019-01-04
Best Shot,Jimmie Allen,0.464,-8.72,0.523,156.051,61,2019-01-04
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,0.493,-7.528,0.562,86.043,62,2019-01-04
Be Alright,Dean Lewis,0.586,-6.319,0.443,126.684,63,2019-01-04
Drunk Me,Mitchell Tenpenny,0.797,-3.77,0.408,176.024,64,2019-01-04
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,0.622,-4.653,0.506,191.971,65,2019-01-04
Look Back At It,A Boogie Wit da Hoodie,0.587,-5.075,0.536,96.057,66,2019-01-04
All My Friends,21 Savage,0.62,-4.513,0.206,130.09,67,2019-01-04
Backin' It Up,Pardison Fontaine Featuring Cardi B,0.68,-4.853,0.565,164.932,69,2019-01-04
Break Da Law,21 Savage,0.575,-7.823,0.359,141.039,70,2019-01-04
Imagine,Ariana Grande,0.475,-4.985,0.371,62.52,71,2019-01-04
Talk To Me,Tory Lanez & Rich The Kid,0.66,-7.883,0.451,159.949,72,2019-01-04
Monster,21 Savage,0.607,-6.916,0.224,134.022,73,2019-01-04
Calling My Spirit,Kodak Black,0.366,-9.954,0.74,119.985,74,2019-01-04
Consequences,Camila Cabello,0.289,-8.131,0.213,104.851,75,2019-01-04
Armed And Dangerous,Juice WRLD,0.67,-6.702,0.845,130.032,76,2019-01-04
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,0.794,-5.844,0.244,114.066,78,2019-01-04
Sixteen,Thomas Rhett,0.531,-7.031,0.425,107.013,79,2019-01-04
Burning Man,Dierks Bentley Featuring Brothers Osborne,0.807,-7.221,0.492,119.073,80,2019-01-04
Beautiful Crazy,Luke Combs,0.402,-7.431,0.382,103.313,81,2019-01-04
When The Party's Over,Billie Eilish,0.111,-14.084,0.198,82.642,82,2019-01-04
Sweet But Psycho,Ava Max,0.704,-4.724,0.628,133.002,83,2019-01-04
This Feeling,The Chainsmokers Featuring Kelsea Ballerini,0.571,-7.906,0.449,105.049,84,2019-01-04
You,Jacquees,0.453,-8.264,0.335,115.002,85,2019-01-04
1.5,21 Savage,0.52,-8.353,0.306,84.022,86,2019-01-04
