spotifyID,title,artist,durationMs,songKey,mode,timeSignature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,spotifyID,chart date,ranking
0UPBidRYcgJ2mjZlk08V8x,F.N,Lil Tjay,224000,6,0,1,0.323,0.562,0.502,0.0,0.0757,-10.269,0.255,0.322,120.104,0UPBidRYcgJ2mjZlk08V8x,2019-11-15,81
0Xek5rqai2jcOWCYWJfVCF,Enemies,Post Malone Featuring DaBaby,196760,6,1,4,0.0588,0.542,0.674,0.0,0.0955,-4.169,0.21,0.667,76.388,0Xek5rqai2jcOWCYWJfVCF,2019-11-15,63
0Xek5rqai2jcOWCYWJfVCF,Enemies,Post Malone Featuring DaBaby,196760,6,1,4,0.0588,0.542,0.674,0.0,0.0955,-4.169,0.21,0.667,76.388,0Xek5rqai2jcOWCYWJfVCF,2019-11-22,66
0XPlSuCVQ1nOhzTpFgnDSz,Show Me Love,Alicia Keys Featuring Miguel,194998,5,0,4,0.447,0.531,0.491,0.0,0.0703,-5.47,0.042,0.521,129.38,0XPlSuCVQ1nOhzTpFgnDSz,2019-11-22,90
1dGr1c8CrMLDpV6mPbImSI,Lover,Taylor Swift,221307,7,1,4,0.492,0.359,0.543,1.58e-05,0.118,-7.582,0.0919,0.453,68.534,1dGr1c8CrMLDpV6mPbImSI,2019-11-15,43
1dGr1c8CrMLDpV6mPbImSI,Lover,Taylor Swift,221307,7,1,4,0.492,0.359,0.543,1.58e-05,0.118,-7.582,0.0919,0.453,68.534,1dGr1c8CrMLDpV6mPbImSI,2019-11-22,26
1GIYmwtBbPSHrqcSaukZck,Heat,Chris Brown Featuring Gunna,232733,0,1,4,0.0607,0.62,0.613,0.0,0.117,-5.83,0.0795,0.483,82.43,1GIYmwtBbPSHrqcSaukZck,2019-11-15,39
1GIYmwtBbPSHrqcSaukZck,Heat,Chris Brown Featuring Gunna,232733,0,1,4,0.0607,0.62,0.613,0.0,0.117,-5.83,0.0795,0.483,82.43,1GIYmwtBbPSHrqcSaukZck,2019-11-22,36
1iQDltZqI7BXnHrFy4Qo1k,Trampoline,SHAED,184280,7,0,4,0.56,0.619,0.459,0.0,0.137,-5.782,0.0334,0.498,126.803,1iQDltZqI7BXnHrFy4Qo1k,2019-11-08,16
1iQDltZqI7BXnHrFy4Qo1k,Trampoline,SHAED,184280,7,0,4,0.56,0.619,0.459,0.0,0.137,-5.782,0.0334,0.498,126.803,1iQDltZqI7BXnHrFy4Qo1k,2019-11-15,16
1iQDltZqI7BXnHrFy4Qo1k,Trampoline,SHAED,184280,7,0,4,0.56,0.619,0.459,0.0,0.137,-5.782,0.0334,0.498,126.803,1iQDltZqI7BXnHrFy4Qo1k,2019-11-22,14
1s71G3V7XQaVo5IOR6gLbp,homecoming queen?,Kelsea Ballerini,167796,9,1,4,0.478,0.462,0.512,0.0,0.0993,-5.443,0.0334,0.29,114.014,1s71G3V7XQaVo5IOR6gLbp,2019-11-22,89
1tSGw3h54aHModEHHL1HGK,Better Together,Luke Combs,219573,0,1,4,0.826,0.552,0.225,0.0,0.111,-11.501,0.0477,0.67,138.002,1tSGw3h54aHModEHHL1HGK,2019-11-22,72
1XVqh0dC0PIl72f2mQhsVt,Good Vibes,Chris Janson,165587,0,1,4,0.022,0.582,0.846,0.0,0.133,-2.771,0.0451,0.736,92.004,1XVqh0dC0PIl72f2mQhsVt,2019-11-15,57
1XVqh0dC0PIl72f2mQhsVt,Good Vibes,Chris Janson,165587,0,1,4,0.022,0.582,0.846,0.0,0.133,-2.771,0.0451,0.736,92.004,1XVqh0dC0PIl72f2mQhsVt,2019-11-22,61
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,215280,0,1,4,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,0.553,120.042,21jGcNKet2qwijlDFuPiPb,2019-11-08,3
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,215280,0,1,4,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,0.553,120.042,21jGcNKet2qwijlDFuPiPb,2019-11-15,2
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,215280,0,1,4,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,0.553,120.042,21jGcNKet2qwijlDFuPiPb,2019-11-22,2
22vgEDb5hykfaTwLuskFGD,Sucker,Jonas Brothers,181027,1,0,4,0.0427,0.842,0.734,0.0,0.106,-5.065,0.0588,0.952,137.958,22vgEDb5hykfaTwLuskFGD,2019-11-08,26
22vgEDb5hykfaTwLuskFGD,Sucker,Jonas Brothers,181027,1,0,4,0.0427,0.842,0.734,0.0,0.106,-5.065,0.0588,0.952,137.958,22vgEDb5hykfaTwLuskFGD,2019-11-15,25
22vgEDb5hykfaTwLuskFGD,Sucker,Jonas Brothers,181027,1,0,4,0.0427,0.842,0.734,0.0,0.106,-5.065,0.0588,0.952,137.958,22vgEDb5hykfaTwLuskFGD,2019-11-22,32
24bnCCysWnbNRNUT4LpHcP,Everything We Need,Kanye West Featuring Ty Dolla $ign & Ant Clemons,116560,9,0,4,0.312,0.894,0.416,0.0,0.146,-6.823,0.0538,0.463,116.96,24bnCCysWnbNRNUT4LpHcP,2019-11-08,33
2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,189486,11,1,4,0.837,0.764,0.32,0.0,0.0822,-7.209,0.0546,0.575,91.019,2b8fOow8UzyDFAE27YhOZM,2019-11-08,11
2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,189486,11,1,4,0.837,0.764,0.32,0.0,0.0822,-7.209,0.0546,0.575,91.019,2b8fOow8UzyDFAE27YhOZM,2019-11-15,9
2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,189486,11,1,4,0.837,0.764,0.32,0.0,0.0822,-7.209,0.0546,0.575,91.019,2b8fOow8UzyDFAE27YhOZM,2019-11-22,5
